Country Name,Country Code,Series Name,Series Code,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mauritania,MRT,Trade (% of GDP),NE.TRD.GNFS.ZS,83.37836594,78.68979163,78.12454877,55.81685117,42.32792012,46.07630404,62.68588367,73.41694026,70.45588975,62.74956357,51.39101255,49.01693804,58.94037477,60.70121246,56.7855296,55.31802433,75.21880468,88.23509956,82.78850121,86.06405568,94.120211,82.0086176,93.42074513,98.4853296,110.7881227,102.3988242,91.61037136,77.34678649,73.15326167,78.81498018,89.14672949,93.48669414,86.77616813,88.30687376
Mauritania,MRT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.31965861,12.9326821,6.600225649,5.628666667,10.14181756,9.37034416,4.128258613,6.543790685,4.681306239,4.625346953,8.031666655,4.074176136,3.254067458,4.714896347,3.895705258,5.151901508,10.36762335,12.12564872,6.241033281,7.254108413,7.346635412,2.220920324,6.283540874,5.686319596,4.902427272,4.129101738,3.534368561,3.254726881,1.471710457,2.254276519,3.067359961,2.300092621,2.385694885,3.565164847
Mauritania,MRT,Population growth (annual %),SP.POP.GROW,2.888795262,2.510914968,2.533517471,2.921237928,3.826695779,4.044832818,3.396786882,2.743278362,1.97732238,2.227498192,2.593086654,2.673298564,2.783538221,2.468625706,2.211292309,2.288294066,2.349655154,2.424304593,2.506582485,2.600528191,2.874808734,3.128994509,3.191594036,3.245124735,3.264135039,3.135806546,3.012189491,3.006059241,2.997958425,2.987787893,2.973564031,2.953472979,2.92092559,2.887033459
Morocco,MAR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1654.006836,1669.732544,1695.636475,1786.762817,1720.422485,1680.710449,1830.880615,1705.448242,1886.672241,1828.968628,1931.740479,1935.47876,1957.141357,2078.966064,2127.50708,2229.576172,2301.081787,2342.154785,2489.99292,2540.615234,2648.585693,2710.666504,2767.042236,2879.539307,2927.450439,3008.185547,3051.458984,3146.247803,3124.425049,3242.644287,3304.711914,3364.739502,3090.894287,3309.130859
Morocco,MAR,Trade (% of GDP),NE.TRD.GNFS.ZS,50.13760317,50.35084475,54.62668742,49.77929548,50.26331618,49.66845661,47.31355373,51.71502538,47.09554345,51.15015465,45.67235959,48.57887649,53.44030584,53.49157102,54.31012791,52.33185827,55.55163847,61.49382769,64.67219778,71.34964678,77.83447164,62.37095602,69.54197961,76.82587149,78.2221019,73.85775653,71.89356675,67.28867593,71.12266038,74.17335788,77.25488752,75.99811588,68.84380339,75.52341718
Morocco,MAR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.369055055,3.259969492,6.782594015,7.986166008,5.740246629,5.18311396,5.14167153,6.123581648,2.986809228,1.038198951,2.753113308,0.684782609,1.894634568,0.619801875,2.795619669,1.167733675,1.493444034,0.98264166,3.28476167,2.042085127,3.714843115,0.971862999,0.993557401,0.90692491,1.287122401,1.880654667,0.442310054,1.557907113,1.635311143,0.754663249,1.803916711,0.303386037,0.705968661,1.40195884
Morocco,MAR,Population growth (annual %),SP.POP.GROW,1.916642518,1.85035032,1.805439979,1.722327256,1.653473975,1.582332079,1.496619805,1.521422822,1.536196064,1.500284224,1.48926291,1.457490483,1.403926301,1.366971448,1.322138168,1.270310816,1.282190216,1.343473016,1.351365506,1.340581014,1.338696045,1.332600982,1.352742862,1.36305169,1.335971286,1.287810153,1.227238741,1.170756399,1.194507263,1.200343364,1.103642101,1.030223159,1.025654864,1.006918479
Oman,OMN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16544.44041,17522.61825,16629.45566,16805.72184,17404.13146,17694.16051,17848.81877,18398.72421,18639.20394,19458.92664,19167.75547,18965.21423,19881.73643,20546.05541,20150.1132,19485.64415,19534.86014,19629.04515,20096.39656,20642.74896,22007.7339,22819.19773,22766.05036,20993.90794,19824.12155,19299.94005,18726.20269,18808.30779,18830.60572,18277.94556,18269.67694,18089.58667,17743.88588,18291.3388
Oman,OMN,Trade (% of GDP),NE.TRD.GNFS.ZS,71.35990076,..,61.23725038,62.71264923,64.72788617,65.08151181,62.68999647,64.15006948,69.39068315,71.59436587,80.48306046,76.61119781,81.41328224,84.52700249,83.65374858,84.84663673,88.61130713,86.76130204,86.14570799,94.86578898,94.76190299,91.62793533,96.38655462,101.6417319,102.0747604,112.5435218,102.2787211,96.37758019,82.8642642,88.95314802,89.27921783,86.47820103,91.8758908,92.02406481
Oman,OMN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.816666667,-0.279578823,0.231328682,0.624969063,1.909835535,3.544985916,5.830484181,12.37540915,3.468810238,3.256579591,4.042188671,2.947734953,1.053548203,1.014014839,0.065290133,1.109208058,1.589094136,0.889312371,0.490815363,-0.406402919,1.682211859
